fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241028.134048	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.188859035435856	0.734092895802162	293	421	1872	1	12583301.7456359	12583301.7456359	32
20241028.134114	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189083360546908	0.71278515306555	240	375	2046	1	11919456.3591022	11919456.3591022	33
20241028.134138	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189660234327883	0.688100199188959	459	425	2425	1	11641309.2269327	11641309.2269327	34
20241028.134202	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.186129392420338	0.710905772140194	304	425	2577	1	11793389.0274314	11793389.0274314	35
20241028.134233	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.186236390204395	0.731815234181822	367	424	2126	1	12075067.3316708	12075067.3316708	36
20241028.134259	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.18623090301931	0.750864587980382	316	417	1791	1	11534730.6733167	11534730.6733167	37
20241028.134322	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.190534768891326	0.74636615416189	255	439	1923	1	11974241.8952618	11974241.8952618	38
20241028.134351	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.191195104032391	0.740573186165163	321	231	2945	1	10672032.4189526	10672032.4189526	39
20241028.134415	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.177905897497601	0.796092654055154	297	436	2130	1	12132194.5137157	12132194.5137157	40
20241028.134437	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.172974410317687	0.868707838772652	408	437	1847	1	12095408.9775561	12095408.9775561	41
20241028.134504	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.170579251496034	0.749355251423273	383	438	2229	1	11673299.2518703	11673299.2518703	42
20241028.134527	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.187374086364039	0.758363305617449	269	435	1978	1	11259216.957606	11259216.957606	43
20241028.134550	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185424665788016	0.755967253645195	513	429	2149	1	12413947.6309227	12413947.6309227	44
20241028.134617	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185955315507522	0.741251227508511	672	432	2009	1	12044521.1970075	12044521.1970075	45
20241028.134639	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.186970848808215	0.794483302284592	539	430	2036	1	12001526.1845387	12001526.1845387	46
20241028.134702	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	23	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185090483439272	0.795402594438991	685	427	2115	1	12456695.7605985	12456695.7605985	47
20241028.134734	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.184734715603439	0.716968212264056	678	429	1983	1	12203618.4538653	12203618.4538653	48
20241028.134801	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185611649157996	0.774538499687648	926	459	2186	1	12446887.7805486	12446887.7805486	49
20241028.134826	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.184716958146145	0.815756880893299	1121	492	2384	1	11884907.7306733	11884907.7306733	50
20241028.134853	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.187613025015647	0.7726611725684	1109	434	1978	1	12058817.9551122	12058817.9551122	51
20241028.134917	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.186265712944323	0.82112340145965	951	435	1909	1	11841478.8029925	11841478.8029925	52
20241028.134940	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.187181391062016	0.761294335732951	907	433	1879	1	12152027.4314214	12152027.4314214	53
20241028.135006	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185936323480458	0.786396590646999	869	477	2229	1	12381029.925187	12381029.925187	54
20241028.135029	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.187056824761344	0.80909728883583	837	455	2398	1	11781561.0972569	11781561.0972569	55
20241028.135052	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185381719468865	0.768746808027998	1015	434	2332	1	11719211.9700748	11719211.9700748	56
20241028.135117	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.183587097694461	0.805451275312428	899	589	1885	1	11897019.9501247	11897019.9501247	57
20241028.135140	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.183997380238785	0.785822199940994	860	435	1731	1	11880216.957606	11880216.957606	58
20241028.135203	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.188924452846853	0.734240622078569	947	449	1901	1	11724231.9201995	11724231.9201995	59
20241028.135229	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.182998788815728	0.814486135878022	932	593	2182	1	11726917.7057357	11726917.7057357	60
20241028.135252	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.18332305241032	0.740202245285772	953	431	1973	1	11992421.446384	11992421.446384	61
20241028.135314	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.186323188908585	0.754310086246718	742	461	2075	1	12051508.7281796	12051508.7281796	62
20241028.135341	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.18544026488689	0.811726406456969	660	432	2004	1	11748598.5037406	11748598.5037406	63
20241028.135403	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.184845431659297	0.772902694122765	714	433	1914	1	12083835.4114713	12083835.4114713	64
20241028.135426	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.184112951017053	0.734963736027199	911	433	2581	1	11560541.1471322	11560541.1471322	65
20241028.135454	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	23	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.18767394997384	0.805154795296045	634	440	2361	1	12149319.201995	12149319.201995	66
