fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241110.210238	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0960923561258079	0.592352395642758	1781	1995	2498	1	11601860.3491272	11601860.3491272	42
20241110.210328	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.298228780447977	0.898246106154842	349	1534	2215	1	11866720.6982544	11866720.6982544	43
20241110.210419	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.172873193484103	0.658734555409101	1881	851	2888	1	11074653.3665835	11074653.3665835	44
20241110.210513	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0288307662997859	0.642856989598147	1721	1211	2739	1	11811927.680798	11811927.680798	45
20241110.210616	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.16492432030328	0.607314398180552	1568	713	2499	1	11500107.2319202	11500107.2319202	46
20241110.210707	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.073892991670487	0.88913530837692	1047	1536	2892	1	11674324.1895262	11674324.1895262	47
20241110.210758	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.290888279606952	0.607061845601179	1129	1242	1930	1	12569401.4962594	12569401.4962594	48
20241110.210913	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	388	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.21772457725969	0.511384205461367	71	383	2571	1	11428945.1371571	11428945.1371571	49
20241110.211009	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.272419240556276	0.825410054085797	864	370	2783	1	10883618.4538653	10883618.4538653	50
20241110.211101	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.1864712914516	0.848742884180164	1850	933	3755	1	11381184.5386534	11381184.5386534	51
20241110.211217	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	462	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0752661503632924	0.600602603446539	1296	391	3272	1	12431281.7955112	12431281.7955112	52
20241110.211308	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.192563101882498	0.655253070881925	304	1359	2282	1	10832603.4912718	10832603.4912718	53
20241110.211357	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.222681783300669	0.746549572396165	1097	1688	2152	1	11571830.4239402	11571830.4239402	54
20241110.211449	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.258551246236465	0.762554179419407	613	905	3098	1	11699117.2069825	11699117.2069825	55
20241110.211553	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.097165451341835	0.578015286297601	1430	400	2780	1	12492718.2044888	12492718.2044888	56
20241110.211646	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.234415576347886	0.550069096616928	856	1298	2946	1	11493471.3216958	11493471.3216958	57
20241110.211735	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.274106865372706	0.617745076369523	25	124	2752	1	10678264.3391521	10678264.3391521	58
20241110.211833	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.201748391249456	0.727096365375361	378	55	3146	1	11918109.7256858	11918109.7256858	59
20241110.211924	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0691878504523711	0.827457438962429	524	1494	2466	1	11989032.4189526	11989032.4189526	60
20241110.212040	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0922080656269892	0.57776085904775	1406	222	2019	1	11987887.7805486	11987887.7805486	61
20241110.212152	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0986506592041795	0.581477784462417	1323	341	2237	1	12202915.2119701	12202915.2119701	62
20241110.212317	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0926909360008472	0.551394303515122	1281	445	2008	1	11977795.5112219	11977795.5112219	63
20241110.212416	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0812646201115824	0.643338958592504	976	385	2642	1	12515296.7581047	12515296.7581047	64
20241110.212507	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0679947490445589	0.626829414873505	74	1546	2174	1	11594708.2294264	11594708.2294264	65
20241110.212601	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.168712379828583	0.631032579739759	1448	597	3672	1	11560458.8528678	11560458.8528678	66
