fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.020310	1	64	1	217979	1600	6.089	6.089
20241113.020344	1	64	1	217979	1800	6.379	6.379
20241113.020418	1	64	1	217979	2000	6.549	6.549
20241113.020452	1	64	1	217979	2200	5.979	5.979
20241113.020526	1	64	1	217979	2400	5.779	5.779
20241113.020600	1	64	1	808937	1600	4.589	4.589
20241113.020713	1	64	1	808937	1800	4.069	4.069
20241113.020826	1	64	1	808937	2000	4.239	4.239
20241113.020939	1	64	1	808937	2200	4.079	4.079
20241113.021052	1	64	1	808937	2400	4.249	4.249
20241113.021206	1	64	1	628757	1600	6.109	6.109
20241113.021319	1	64	1	628757	1800	6.049	6.049
20241113.021433	1	64	1	628757	2000	6.699	6.699
20241113.021546	1	64	1	628757	2200	6.049	6.049
20241113.021700	1	64	1	628757	2400	5.389	5.389
20241113.021814	1	64	1	137353	1600	5.749	5.749
20241113.021927	1	64	1	137353	1800	5.529	5.529
20241113.022040	1	64	1	137353	2000	5.649	5.649
20241113.022153	1	64	1	137353	2200	5.049	5.049
20241113.022306	1	64	1	137353	2400	5.179	5.179
20241113.022420	1	64	1	564391	1600	6.249	6.249
20241113.022533	1	64	1	564391	1800	6.529	6.529
20241113.022646	1	64	1	564391	2000	6.829	6.829
20241113.022759	1	64	1	564391	2200	6.619	6.619
20241113.022913	1	64	1	564391	2400	5.919	5.919
20241113.023026	1	64	1	291077	1600	6.089	6.089
20241113.023140	1	64	1	291077	1800	5.879	5.879
20241113.023253	1	64	1	291077	2000	6.129	6.129
20241113.023406	1	64	1	291077	2200	6.369	6.369
20241113.023517	1	64	1	291077	2400	6.159	6.159
20241113.023551	1	64	1	340451	1600	5.179	5.179
20241113.023625	1	64	1	340451	1800	5.799	5.799
20241113.023659	1	64	1	340451	2000	5.679	5.679
20241113.023733	1	64	1	340451	2200	5.039	5.039
20241113.023807	1	64	1	340451	2400	5.189	5.189
20241113.023841	1	64	1	692641	1600	4.619	4.619
20241113.023915	1	64	1	692641	1800	5.259	5.259
20241113.023949	1	64	1	692641	2000	4.999	4.999
20241113.024022	1	64	1	692641	2200	4.429	4.429
20241113.024056	1	64	1	692641	2400	4.239	4.239
20241113.024130	1	64	1	974747	1600	5.379	5.379
20241113.024203	1	64	1	974747	1800	7.069	7.069
20241113.024237	1	64	1	974747	2000	6.469	6.469
20241113.024311	1	64	1	974747	2200	6.979	6.979
20241113.024344	1	64	1	974747	2400	6.779	6.779
20241113.024457	1	64	1	578999	1600	4.869	4.869
20241113.024613	1	64	1	578999	1800	5.189	5.189
20241113.024727	1	64	1	578999	2000	5.369	5.369
20241113.024840	1	64	1	578999	2200	5.109	5.109
20241113.024953	1	64	1	578999	2400	4.539	4.539
20241113.025034	1	64	20	-1	1600	5.596	5.596
20241113.025124	1	64	20	-1	1800	5.7	5.7
20241113.025214	1	64	20	-1	2000	5.795	5.795
20241113.025304	1	64	20	-1	2200	5.6015	5.6015
20241113.025344	1	64	20	-1	2400	5.4955	5.4955
